feature,importance
div_Health Care and Social Assistance,0.3106742697901828
div_Manufacturing,0.14131250335668205
div_Education and Training,0.12943262637897748
div_Construction,0.10985791650255529
div_Mining,0.06590946544994236
"div_Transport, Postal and Warehousing",0.052795105198601325
div_Wholesale Trade,0.03670376852986322
employer_size_ord,0.03120487899115392
"div_Professional, Scientific and Technical Services",0.02568405316404459
"div_Electricity, Gas, Water and Waste Services",0.020399810621693545
"div_Agriculture, Forestry and Fishing",0.01887435658521031
div_Administrative and Support Services,0.010475933055382183
div_Retail Trade,0.009820291486928348
div_Other Services,0.00966752488772664
div_Public Administration and Safety,0.007832292079441444
